2012-09-28 0:00,12,43,1115,73,9,87,9,192.5714286
2012-09-29 0:00,47,40,2232,8737,9,102,8,1596.428571
2012-09-30 0:00,33,15,141,2682,6,61,8,420.8571429
2012-10-01 0:00,23,19,200,8,15,59,6,47.14285714
2012-10-02 0:00,21,39,208,168,14,62,3,73.57142857
2012-10-03 0:00,21,38,257,67,12,52,9,65.14285714
2012-10-04 0:00,24,28,266,166,8,52,6,78.57142857
2012-10-05 0:00,11,21,168,41,21,53,4,45.57142857
2012-10-06 0:00,11,36,233,30,20,40,7,53.85714286
2012-10-07 0:00,19,106,210,12,16,56,1,60
2012-10-08 0:00,12,36,257,19,6,70,1,57.28571429
2012-10-09 0:00,17,31,215,148,7,32,5,65
2012-10-10 0:00,11,14,199,17,12,,2,42.5
2012-10-11 0:00,11,19,246,11,1,3,3,42
2012-10-12 0:00,6,15,197,5,8,29,2,37.42857143
2012-10-13 0:00,12,15,337,82,7,50,0,71.85714286
2012-10-14 0:00,16,13,312,76,6,2,2,61
2012-10-15 0:00,12,32,296,47,2,23,3,59.28571429
