71,786.5,24.1,26.6,21.4,42.2
76.3,747,25.4,29.7,22.9,6.2
81.6,739.5,24.8,27.9,22.8,15.4
85.3,710.5,24.9,27.9,23.2,9
81,698,24.8,29.3,21.1,8.8
92.1,857.5,24,26.2,22.3,2
89,1158.5,24.7,26.3,22.8,5.2
81.6,1096.5,26.2,30.2,23.9,3
75.3,1058,27.2,30.5,24.4,6
87.8,1058,24.7,26.6,23.2,12.2
81.1,1131,25.6,29.2,23.3,4.2
77.5,1016.5,26.1,30.1,24.4,6.6
83,1017,25.4,28.1,23.7,8.6
86.3,1058.5,25.4,28,23.7,2.6
67.8,1068.5,28.9,34.1,23.4,5.6
67.5,1026,28.5,32.7,26.1,3
63.9,1014.5,28.7,33,24.9,3
84.8,1004,24.7,27.7,23.6,2.4
76.3,1037.5,26,28.7,24.4,5
81,995,25.8,28.9,23.2,2.6
78.9,943.8,26.6,29.9,24.5,2.2
86.5,914.8,25.3,26.3,24.1,1.8
83.9,896.3,25.3,26.6,23.9,1.8
86.8,887.8,25,26.8,23.9,4.8
87.3,842.8,24.5,26.9,22.9,1.8
87.8,842.3,25,26.2,23.6,0.4
91.1,858.3,23.7,24.6,22.8,0
73.3,862.3,25.2,30.2,21.5,2.6
75.6,862.3,24.4,29.2,21.7,7.4
76.9,862.3,23.1,27,20.3,3.4
68.4,861.3,24.4,31,18.7,1.4
71.4,858.3,23.5,29.6,19.8,2
60.1,853.8,24.3,30.5,18.1,1.4
57.9,826.3,24.8,28.6,21.2,6.4
57.3,655.3,25.7,30.5,21,5
57.5,353.8,26.4,30.3,23.2,19.2
59.5,238.8,27.6,31.2,23.5,23.2
66.8,231.3,27.3,32,24.3,22.4
75.6,231.3,26.8,29.9,24.5,30.6
70,158.3,27.1,32.4,24.2,23.2
62.6,166.3,27.9,32.8,23.6,20.2
63.3,165.8,27,31.1,22.9,97.8
58.1,124.3,26.9,32.4,22.9,461
48,114.3,25.1,30.7,20.3,65.4
47.6,114.3,23.7,30.2,19.4,97
55.9,112.8,23.8,28.5,19.5,94
52.5,108.3,23.4,28.7,18.8,108.4
49.9,68.8,22.6,27.3,17.5,78
53.8,68.8,22.3,25.8,20.4,70.8
75.5,68.5,19.9,20.7,19,90.8
68.6,71,21.5,26.4,18,37.4
77.1,51.5,21.2,22.5,19.5,83.2
69.6,45,23.3,27,20,101
50.3,35.5,25,30.9,20.9,121.4
70.9,35,24.4,28.1,22.8,95.4
68.8,19,25.7,31.3,21.2,55.6
68.1,15,25.6,31.2,21.7,98.6
65.6,15,25.8,31,21.6,105
63,15,21,26.4,17.5,109.2
56.1,15,16.8,18.2,14.5,62.6
44.5,15.1,17.7,23.2,13.4,57.2
44.4,11.6,18.1,24,12.4,39.4
49.8,11.6,18.1,24.6,11.9,52.6
49.9,11.6,19.5,26,13.5,50.2
55.9,11.6,19.6,25.9,14.4,42.25
61.3,11.6,20,26.6,14.6,49.6
52.1,11.6,21.2,27.7,14.8,72
41.1,11.6,21.8,29.2,15.4,48.6
52.6,11.6,19.8,23.5,16.6,25.6
83.3,3.1,16.9,19.5,15.5,19.8
49.5,25.6,14.8,18.6,10.3,7.4
48.9,25.6,12.7,17.6,7.7,2.6
42.1,25.6,13.3,18.1,9.6,6.4
44.3,25.6,13.8,20.8,7.3,3
47.3,25.6,14.9,21.2,8.4,5.8
51.5,25.6,16.4,22,12.7,8
54.1,25.6,16.5,20.2,12.7,22.2
